Symptoms,Disease Name,English Medicine Name,Ayurvedic Medicine Name,Diet Recommendation
"Chest pain, shortness of breath",Angina,Nitroglycerin,Arjuna Kwath,"Garlic, pomegranate juice, no spicy food"
"Joint pain, swelling, stiffness",Arthritis,Ibuprofen,Rasnadi Kashayam,"Drumstick, turmeric milk, flax seeds"
"Chest pain, shortness of breath",Angina,Nitroglycerin,Arjuna Kwath,"Garlic, pomegranate juice, no spicy food"
"Joint pain, swelling, stiffness",Arthritis,Ibuprofen,Rasnadi Kashayam,"Drumstick, turmeric milk, flax seeds"
"Frequent urination, excessive thirst",Diabetes,Metformin,Madhumeha Kusumakar Rasa,"Bitter gourd, fenugreek, low-carb diet"
"Low BP, weakness, fainting",Hypotension,ORS,Drakshasava,"Raisins, beetroot, fluids"
"Joint pain, swelling, stiffness",Arthritis,Ibuprofen,Rasnadi Kashayam,"Drumstick, turmeric milk, flax seeds"
"Irregular periods, mood swings",PCOS,Metformin,Ashokarishta,"Flax seeds, green vegetables, no sugar"
"Low BP, weakness, fainting",Hypotension,ORS,Drakshasava,"Raisins, beetroot, fluids"
"Acidity, sour burps, stomach pain",Acid Reflux,Pantoprazole,Avipattikar Churna,"Cold milk, fennel seeds, avoid fried foods"
"Obesity, fatigue, breathlessness",Obesity,Orlistat,Medohar Vati,"Green tea, oats, vegetables"
"Dark circles, dull skin, stress",Lack of Sleep,Melatonin,Tagara,"Ashwagandha tea, warm milk, banana"
"Dry skin, cracks, itching",Eczema,Moisturizer Cream,Khadirarishta,"Neem, coconut oil, omega-3 rich food"
"Fever, body ache, weakness",Viral Fever,Dolo 650,Sudarsana Churna,"Rice gruel, khichdi, coconut water"
"Pimples, oily skin, acne marks",Acne,Benzoyl Peroxide,Nimbadi Churna,"Neem, turmeric, green leafy vegetables"
"Constipation, hard stools, bloating",Constipation,Isabgol,Triphala Churna,"Papaya, warm water, flax seeds"
"Low appetite, fatigue, nausea",Poor Digestion,Domperidone,Jeerakarishta,"Jeera water, ginger, rock salt"
"Back pain, stiffness, discomfort",Back Pain,Diclofenac,Yograj Guggulu,"Garlic, warm milk, drumstick soup"
"Hair fall, dandruff, itchy scalp",Hair Loss,Minoxidil,Bhringraj Oil,"Amla, curry leaves, sesame seeds"
"Dry skin, cracks, itching",Eczema,Moisturizer Cream,Khadirarishta,"Neem, coconut oil, omega-3 rich food"
"Low appetite, fatigue, nausea",Poor Digestion,Domperidone,Jeerakarishta,"Jeera water, ginger, rock salt"
"Obesity, fatigue, breathlessness",Obesity,Orlistat,Medohar Vati,"Green tea, oats, vegetables"
"High BP, dizziness, headache",Hypertension,Amlodipine,Sarpagandha Vati,"Garlic, watermelon, reduce salt"
"Fever, body ache, weakness",Viral Fever,Dolo 650,Sudarsana Churna,"Rice gruel, khichdi, coconut water"
"White discharge, itching",Leucorrhea,Clotrimazole,Pushyanug Churna,"Pomegranate, banana, sabudana"
"Sneezing, nasal congestion, watery eyes",Allergic Rhinitis,Levocetirizine,Haridrakhand,"Tulsi tea, ginger, avoid cold drinks"
"Pimples, oily skin, acne marks",Acne,Benzoyl Peroxide,Nimbadi Churna,"Neem, turmeric, green leafy vegetables"
"Constipation, hard stools, bloating",Constipation,Isabgol,Triphala Churna,"Papaya, warm water, flax seeds"
"Cough with phlegm, throat irritation",Bronchitis,Ambroxol,Sitopaladi Churna,"Ginger, tulsi, honey with warm water"
"Joint pain, swelling, stiffness",Arthritis,Ibuprofen,Rasnadi Kashayam,"Drumstick, turmeric milk, flax seeds"
"Acidity, sour burps, stomach pain",Acid Reflux,Pantoprazole,Avipattikar Churna,"Cold milk, fennel seeds, avoid fried foods"
"Low appetite, fatigue, nausea",Poor Digestion,Domperidone,Jeerakarishta,"Jeera water, ginger, rock salt"
"Acidity, sour burps, stomach pain",Acid Reflux,Pantoprazole,Avipattikar Churna,"Cold milk, fennel seeds, avoid fried foods"
"Joint pain, swelling, stiffness",Arthritis,Ibuprofen,Rasnadi Kashayam,"Drumstick, turmeric milk, flax seeds"
"Low appetite, fatigue, nausea",Poor Digestion,Domperidone,Jeerakarishta,"Jeera water, ginger, rock salt"
"Fever, body ache, weakness",Viral Fever,Dolo 650,Sudarsana Churna,"Rice gruel, khichdi, coconut water"
"White discharge, itching",Leucorrhea,Clotrimazole,Pushyanug Churna,"Pomegranate, banana, sabudana"
"Dark circles, dull skin, stress",Lack of Sleep,Melatonin,Tagara,"Ashwagandha tea, warm milk, banana"
"Back pain, stiffness, discomfort",Back Pain,Diclofenac,Yograj Guggulu,"Garlic, warm milk, drumstick soup"
"High BP, dizziness, headache",Hypertension,Amlodipine,Sarpagandha Vati,"Garlic, watermelon, reduce salt"
"Dry skin, cracks, itching",Eczema,Moisturizer Cream,Khadirarishta,"Neem, coconut oil, omega-3 rich food"
"Cough with phlegm, throat irritation",Bronchitis,Ambroxol,Sitopaladi Churna,"Ginger, tulsi, honey with warm water"
"Pimples, oily skin, acne marks",Acne,Benzoyl Peroxide,Nimbadi Churna,"Neem, turmeric, green leafy vegetables"
"Sneezing, nasal congestion, watery eyes",Allergic Rhinitis,Levocetirizine,Haridrakhand,"Tulsi tea, ginger, avoid cold drinks"
"Obesity, fatigue, breathlessness",Obesity,Orlistat,Medohar Vati,"Green tea, oats, vegetables"
"Frequent urination, excessive thirst",Diabetes,Metformin,Madhumeha Kusumakar Rasa,"Bitter gourd, fenugreek, low-carb diet"
"Pimples, oily skin, acne marks",Acne,Benzoyl Peroxide,Nimbadi Churna,"Neem, turmeric, green leafy vegetables"
"Headache, heaviness, stress",Migraine,Paracetamol,Godanti Bhasma,"Ginger tea, hydration, avoid processed foods"
"Chest pain, shortness of breath",Angina,Nitroglycerin,Arjuna Kwath,"Garlic, pomegranate juice, no spicy food"
"High BP, dizziness, headache",Hypertension,Amlodipine,Sarpagandha Vati,"Garlic, watermelon, reduce salt"
"Obesity, fatigue, breathlessness",Obesity,Orlistat,Medohar Vati,"Green tea, oats, vegetables"
"Pimples, oily skin, acne marks",Acne,Benzoyl Peroxide,Nimbadi Churna,"Neem, turmeric, green leafy vegetables"
"Irregular periods, mood swings",PCOS,Metformin,Ashokarishta,"Flax seeds, green vegetables, no sugar"
"Hair fall, dandruff, itchy scalp",Hair Loss,Minoxidil,Bhringraj Oil,"Amla, curry leaves, sesame seeds"
"Frequent urination, excessive thirst",Diabetes,Metformin,Madhumeha Kusumakar Rasa,"Bitter gourd, fenugreek, low-carb diet"
"Chest pain, shortness of breath",Angina,Nitroglycerin,Arjuna Kwath,"Garlic, pomegranate juice, no spicy food"
"Dark circles, dull skin, stress",Lack of Sleep,Melatonin,Tagara,"Ashwagandha tea, warm milk, banana"
"Pimples, oily skin, acne marks",Acne,Benzoyl Peroxide,Nimbadi Churna,"Neem, turmeric, green leafy vegetables"
"Sneezing, nasal congestion, watery eyes",Allergic Rhinitis,Levocetirizine,Haridrakhand,"Tulsi tea, ginger, avoid cold drinks"
"Acidity, sour burps, stomach pain",Acid Reflux,Pantoprazole,Avipattikar Churna,"Cold milk, fennel seeds, avoid fried foods"
"Acidity, sour burps, stomach pain",Acid Reflux,Pantoprazole,Avipattikar Churna,"Cold milk, fennel seeds, avoid fried foods"
"Dark circles, dull skin, stress",Lack of Sleep,Melatonin,Tagara,"Ashwagandha tea, warm milk, banana"
"Dark circles, dull skin, stress",Lack of Sleep,Melatonin,Tagara,"Ashwagandha tea, warm milk, banana"
"Obesity, fatigue, breathlessness",Obesity,Orlistat,Medohar Vati,"Green tea, oats, vegetables"
"Low BP, weakness, fainting",Hypotension,ORS,Drakshasava,"Raisins, beetroot, fluids"
"Dry skin, cracks, itching",Eczema,Moisturizer Cream,Khadirarishta,"Neem, coconut oil, omega-3 rich food"
"Irregular periods, mood swings",PCOS,Metformin,Ashokarishta,"Flax seeds, green vegetables, no sugar"
"Obesity, fatigue, breathlessness",Obesity,Orlistat,Medohar Vati,"Green tea, oats, vegetables"
"Hair fall, dandruff, itchy scalp",Hair Loss,Minoxidil,Bhringraj Oil,"Amla, curry leaves, sesame seeds"
"White discharge, itching",Leucorrhea,Clotrimazole,Pushyanug Churna,"Pomegranate, banana, sabudana"
"Irregular periods, mood swings",PCOS,Metformin,Ashokarishta,"Flax seeds, green vegetables, no sugar"
"White discharge, itching",Leucorrhea,Clotrimazole,Pushyanug Churna,"Pomegranate, banana, sabudana"
"Dry skin, cracks, itching",Eczema,Moisturizer Cream,Khadirarishta,"Neem, coconut oil, omega-3 rich food"
"Hair fall, dandruff, itchy scalp",Hair Loss,Minoxidil,Bhringraj Oil,"Amla, curry leaves, sesame seeds"
"Irregular periods, mood swings",PCOS,Metformin,Ashokarishta,"Flax seeds, green vegetables, no sugar"
"Joint pain, swelling, stiffness",Arthritis,Ibuprofen,Rasnadi Kashayam,"Drumstick, turmeric milk, flax seeds"
"Dry skin, cracks, itching",Eczema,Moisturizer Cream,Khadirarishta,"Neem, coconut oil, omega-3 rich food"
"Constipation, hard stools, bloating",Constipation,Isabgol,Triphala Churna,"Papaya, warm water, flax seeds"
"Back pain, stiffness, discomfort",Back Pain,Diclofenac,Yograj Guggulu,"Garlic, warm milk, drumstick soup"
"Chest pain, shortness of breath",Angina,Nitroglycerin,Arjuna Kwath,"Garlic, pomegranate juice, no spicy food"
"Frequent urination, excessive thirst",Diabetes,Metformin,Madhumeha Kusumakar Rasa,"Bitter gourd, fenugreek, low-carb diet"
"Pimples, oily skin, acne marks",Acne,Benzoyl Peroxide,Nimbadi Churna,"Neem, turmeric, green leafy vegetables"
"Dark circles, dull skin, stress",Lack of Sleep,Melatonin,Tagara,"Ashwagandha tea, warm milk, banana"
"Dark circles, dull skin, stress",Lack of Sleep,Melatonin,Tagara,"Ashwagandha tea, warm milk, banana"
"Sneezing, nasal congestion, watery eyes",Allergic Rhinitis,Levocetirizine,Haridrakhand,"Tulsi tea, ginger, avoid cold drinks"
"Irregular periods, mood swings",PCOS,Metformin,Ashokarishta,"Flax seeds, green vegetables, no sugar"
"Obesity, fatigue, breathlessness",Obesity,Orlistat,Medohar Vati,"Green tea, oats, vegetables"
"Obesity, fatigue, breathlessness",Obesity,Orlistat,Medohar Vati,"Green tea, oats, vegetables"
"Low BP, weakness, fainting",Hypotension,ORS,Drakshasava,"Raisins, beetroot, fluids"
"Chest pain, shortness of breath",Angina,Nitroglycerin,Arjuna Kwath,"Garlic, pomegranate juice, no spicy food"
"Sneezing, nasal congestion, watery eyes",Allergic Rhinitis,Levocetirizine,Haridrakhand,"Tulsi tea, ginger, avoid cold drinks"
"Dark circles, dull skin, stress",Lack of Sleep,Melatonin,Tagara,"Ashwagandha tea, warm milk, banana"
"Irregular periods, mood swings",PCOS,Metformin,Ashokarishta,"Flax seeds, green vegetables, no sugar"
"Constipation, hard stools, bloating",Constipation,Isabgol,Triphala Churna,"Papaya, warm water, flax seeds"
"Chest pain, shortness of breath",Angina,Nitroglycerin,Arjuna Kwath,"Garlic, pomegranate juice, no spicy food"
"High BP, dizziness, headache",Hypertension,Amlodipine,Sarpagandha Vati,"Garlic, watermelon, reduce salt"
"Headache, heaviness, stress",Migraine,Paracetamol,Godanti Bhasma,"Ginger tea, hydration, avoid processed foods"
